country,country_code,year,hdi,hdi_rank_2022,gdp_current_usd,population,gdp_per_capita_usd,gini_index,gini_index_source_year,poverty_headcount_ratio,poverty_headcount_ratio_source_year,life_expectancy,expected_years_schooling,mean_years_schooling,un_region,un_subregion
Afghanistan,AFG,2022,0.462,182,14502158192.090397,40578842,357.38225827366875,,,,,,,,Asia,Southern Asia
Angola,AGO,2022,0.591,150,104399746853.4014,35635029,2929.6944546727154,51.3,2018.0,49.90295419834461,2018.0,,,,Africa,Sub-Saharan Africa
Albania,ALB,2022,0.789,74,18916378860.54883,2451636,7715.818686195189,29.4,2020.0,0.0,2019.0,,,,Europe,Southern Europe
Andorra,AND,2022,0.884,35,3380602042.8428345,79705,42413.9268909458,,,,,,,,Europe,Southern Europe
United Arab Emirates,ARE,2022,0.937,17,507063968277.74,10074977,50329.04474895972,26.4,2018.0,,,,,,Asia,Western Asia
Argentina,ARG,2022,0.849,48,631133384439.9445,45407904,13899.196590090229,40.7,2022.0,,,,,,Americas,Latin America and the Caribbean
Armenia,ARM,2022,0.786,76,19513474648.24293,2969200,6571.963710172077,27.9,2022.0,0.38813461106411,2020.0,,,,Asia,Western Asia
Antigua and Barbuda,ATG,2022,0.826,54,1867733333.3333333,92840,20117.765331035473,,,,,,,,Americas,Latin America and the Caribbean
Australia,AUS,2022,0.946,10,1692956646855.7017,26018721,65066.86654027697,34.3,2018.0,0.49709397223352,2018.0,,,,Oceania,Australia and New Zealand
Austria,AUT,2022,0.926,22,470941926750.7412,9041851,52084.68119533724,30.9,2022.0,0.6406388870167501,2019.0,,,,Europe,Western Europe
Azerbaijan,AZE,2022,0.76,89,78807470588.2353,10141756,7770.594223350996,,,,,,,,Asia,Western Asia
Burundi,BDI,2022,0.42,187,3338722827.656905,13321097,250.6342253687444,37.5,2020.0,,,,,,Africa,Sub-Saharan Africa
Belgium,BEL,2022,0.942,12,583613982019.263,11680210,49966.0521531088,26.4,2022.0,0.0785524649988983,2019.0,,,,Europe,Western Europe
Benin,BEN,2022,0.504,173,17425418044.290585,13759501,1266.4280517360755,34.4,2021.0,19.16538004356062,2018.0,,,,Africa,Sub-Saharan Africa
Burkina Faso,BFA,2022,0.438,185,18820219331.22608,22509038,836.1183330547526,37.4,2021.0,33.661068989929674,2018.0,,,,Africa,Sub-Saharan Africa
Bangladesh,BGD,2022,0.67,129,460131688909.3012,169384897,2716.485926778355,33.4,2022.0,,,,,,Asia,Southern Asia
Bulgaria,BGR,2022,0.799,70,90346169914.93486,6465097,13974.44924877923,38.2,2022.0,0.9236337027139,2019.0,,,,Europe,Eastern Europe
Bahrain,BHR,2022,0.888,34,44383297872.34042,1524693,29109.66199250631,,,,,,,,Asia,Western Asia
Bahamas,BHS,2022,0.82,57,13136400000.0,397538,33044.38820942904,,,,,,,,Americas,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,2022,0.779,80,24534663636.17784,3204802,7655.5942102438285,,,,,,,,Europe,Southern Europe
Belarus,BLR,2022,0.801,69,73775179924.60303,9228071,7994.648060748886,24.4,2020.0,0.0,2020.0,,,,Europe,Eastern Europe
Belize,BLZ,2022,0.7,118,2830507575.6840954,402733,7028.248431799965,39.9,2018.0,,,,,,Americas,Latin America and the Caribbean
Bolivia (Plurinational State of),BOL,2022,0.698,120,44008282879.884224,12077154,3643.9282698460433,41.2,2022.0,4.40718469227936,2020.0,,,,Americas,Latin America and the Caribbean
Brazil,BRA,2022,0.76,89,1951923942083.32,210306415,9281.333344412342,52.0,2022.0,1.72670979927661,2020.0,,,,Americas,Latin America and the Caribbean
