country_code,country,life_expectancy_year,life_expectancy,expected_years_schooling_year,expected_years_schooling,mean_years_schooling_year,mean_years_schooling
AFG,Afghanistan,2010.0,59.60009756,2015.0,10.4,2015.0,3.6
AGO,Angola,2010.0,50.65417073,2015.0,11.0,2015.0,5.0
ALB,Albania,2010.0,76.9785122,2015.0,14.8,2015.0,9.7
AND,Andorra,,,2015.0,13.5,2015.0,10.2
ARE,United Arab Emirates,2010.0,76.59860976,2015.0,13.8,2015.0,10.6
ARG,Argentina,2010.0,75.66356098,2015.0,17.4,2015.0,9.8
ARM,Armenia,2010.0,74.21965854,2015.0,13.0,2015.0,11.6
ATG,Antigua and Barbuda,2010.0,75.33390244,2015.0,13.3,2015.0,9.2
AUS,Australia,2010.0,81.69512195,2015.0,23.3,2015.0,12.8
AUT,Austria,2010.0,80.5804878,2015.0,15.9,2015.0,12.1
AZE,Azerbaijan,2010.0,70.45029268,2015.0,12.7,2015.0,10.7
BDI,Burundi,2010.0,52.62402439,2015.0,11.7,2015.0,2.9
BEL,Belgium,2010.0,80.23414634,2015.0,19.8,2015.0,11.7
BEN,Benin,2010.0,58.74668293,2015.0,12.6,2015.0,3.5
BFA,Burkina Faso,2010.0,55.0067561,2015.0,8.3,2015.0,1.4
BGD,Bangladesh,2010.0,69.48580488,2015.0,11.3,2015.0,5.2
BGR,Bulgaria,2010.0,73.51219512,2015.0,15.1,2015.0,11.8
BHR,Bahrain,2010.0,76.26485366,2015.0,14.8,2015.0,9.3
BHS,Bahamas,2010.0,74.59239024,2015.0,12.8,2015.0,11.1
BIH,Bosnia and Herzegovina,2010.0,75.80668293,2015.0,14.2,2015.0,9.0
BLR,Belarus,2010.0,70.40487805,2015.0,15.5,2015.0,12.2
BLZ,Belize,2010.0,73.2704878,2015.0,12.8,2015.0,10.5
BOL,Bolivia (Plurinational State of),2010.0,66.31970732,2015.0,13.8,2015.0,8.7
BRA,Brazil,2010.0,73.07531707,2015.0,15.4,2015.0,7.6
BRB,Barbados,2010.0,74.80178049,2015.0,15.3,2015.0,10.5
BRN,Brunei Darussalam,2010.0,77.98865854,2015.0,14.5,2015.0,9.0
BTN,Bhutan,2010.0,67.00468293,2015.0,12.2,2015.0,3.1
